Molecule ChEMBL ID,Smiles,pChEMBL Value
CHEMBL5757931,COc1ccc(OCCNCCCF)cc1[C@@H]1c2[nH]c3ccccc3c2C[C@@H](C)N1C[C@H](C)C(=O)O,6.82
CHEMBL6007627,Cc1ccc2[nH]c3c(c2c1)C[C@@H](C)N(CC(F)(F)CO)[C@@H]3c1c(F)ccc(OCCNCCCF)c1F,8.96
CHEMBL5818403,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@](C)(c2cccc(OCCNCCCF)c2)N1CC(F)(F)F,7.28
CHEMBL5973051,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2c(F)ccc(OCCNCCCF)c2F)N1CC1(S(C)(=O)=O)CC1,8.14
CHEMBL101083,CC1(c2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc2CCN1c1ccc(F)cc1,8.72
CHEMBL182237,Cc1cc(C)nc(N2CCN(c3ccc(C(=O)c4c(-c5ccc(O)cc5)sc5cc(O)ccc45)cc3)CC2)n1,8.67
CHEMBL63768,COc1cccc2c1-c1ccc(NS(C)(=O)=O)c(Br)c1C(c1ccccc1)O2,5.64
CHEMBL219390,,7.14
CHEMBL371012,Oc1ccc(-c2c(-c3ccccc3)[nH]c3ccccc23)cc1,7.62
CHEMBL539927,Oc1ccc([C@@H]2Sc3cc(O)ccc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,7.64
CHEMBL347560,CN(CCCc1ccc(Cl)cc1)c1nc(NCCc2ccc(O)cc2)nc(N2CCN(CCO)CC2)n1,7.52
CHEMBL316003,CCc1c(-c2ccc(O)cc2)oc(-c2ccc(O)cc2)c1-c1ccc(OCCN2CCCCC2)cc1,7.19
CHEMBL83,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,5.59
CHEMBL5745065,Cc1cc2cc(C3=C(c4ccc(O[C@H]5CCN(CCCF)C5)cc4)c4ccc(O)cc4CCC3)ccc2[nH]1,8.05
CHEMBL4172852,CN1CC=C(C2=C(c3ccc(O[C@H]4CCN(CCCF)C4)cc3)c3ccc(O)cc3CCC2)CC1,6.03
CHEMBL5841012,CCOc1ccc(C2=C(c3ccc(O[C@H]4CCN(CCCF)C4)cc3)c3ccc(O)cc3CCC2)c(C)c1,8
CHEMBL6019511,Cc1cccc(C2=C(c3ccc(O[C@H]4CCN(CCCF)C4)cc3)c3ccc(O)cc3CCC2)c1C,8.7
CHEMBL5812024,Cc1cc(Cl)ccc1C1=C(c2ccc(O[C@H]3CCN(CCCF)C3)cc2)c2ccc(O)cc2CCC1,7.5
CHEMBL195371,Oc1ccc2c(c1)sc1c3ccccc3n(Cc3ccc(OCCN4CCCCCC4)cc3)c21,7.75
CHEMBL264216,Oc1ccc2c(c1)sc1c3cc(O)ccc3n(Cc3ccc(OCCN4CCCCCC4)cc3)c21,8.48
CHEMBL370282,Oc1ccc2c(c1)sc1c3cc(O)ccc3n(Cc3ccc(OCCN4CCOCC4)cc3)c21,8
